LABEL,INDEX,nr_pix,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,left2tile,right2tile,verticalness,top2tile,bottom2tile,horizontalness,zero_bottom_right
a,1,41,5,8,5,5,13,13,14,9,0.56097561,12,13,0.609756098,0
a,2,44,3,8,8,5,14,13,16,13,0.659090909,10,11,0.477272727,2
a,3,54,3,8,12,6,16,14,18,16,0.62962963,12,14,0.481481481,1
a,4,54,3,8,12,6,16,14,18,16,0.62962963,12,14,0.481481481,1
a,5,51,5,9,7,5,16,14,18,14,0.62745098,14,16,0.588235294,2
a,6,42,3,6,9,5,15,11,16,15,0.738095238,7,8,0.357142857,3
a,7,46,2,5,11,7,15,12,15,15,0.652173913,8,8,0.347826087,4
a,8,47,2,7,10,6,13,13,15,13,0.595744681,11,13,0.510638298,3
approxequal,1,54,0,6,10,12,10,19,5,4,0.166666667,12,11,0.425925926,6
approxequal,2,48,0,7,9,11,9,18,4,3,0.145833333,15,16,0.645833333,5
approxequal,3,53,0,14,10,7,10,22,2,3,0.094339623,19,20,0.735849057,6
approxequal,4,52,0,14,10,7,12,21,5,7,0.230769231,18,18,0.692307692,4
approxequal,5,46,0,11,11,8,11,19,2,1,0.065217391,16,15,0.673913043,3
approxequal,6,46,0,12,9,7,10,20,2,0,0.043478261,17,17,0.739130435,3
approxequal,7,51,0,10,12,10,12,20,7,5,0.235294118,13,15,0.549019608,3
approxequal,8,51,2,7,8,12,11,19,3,2,0.098039216,16,15,0.607843137,4
b,1,37,5,3,5,4,19,7,19,21,1.081081081,6,4,0.27027027,3
b,2,38,8,3,4,4,19,7,18,21,1.026315789,4,3,0.184210526,4
b,3,32,3,2,5,4,17,6,13,17,0.9375,3,1,0.125,3
b,4,34,6,1,5,5,17,6,18,20,1.117647059,3,3,0.176470588,2
b,5,31,6,1,4,4,17,6,16,18,1.096774194,3,1,0.129032258,2
b,6,44,5,3,6,6,21,9,19,23,0.954545455,6,8,0.318181818,5
b,7,37,5,0,5,6,19,7,18,19,1,4,1,0.135135135,3
b,8,41,3,1,8,5,21,6,23,22,1.097560976,2,1,0.073170732,1
c,1,25,1,7,2,2,13,11,6,6,0.48,12,12,0.96,0
c,2,28,1,10,2,2,13,12,5,5,0.357142857,15,15,1.071428571,0
